X,Y,SHAP_NDVI,SHAP_Building_Density,SHAP_SVF,SHAP_Albedo,SHAP_Distance_to_Water,SHAP_Elevation
0,0,3.4143345,-1.8651625,-0.52380013,1.0525262,-0.6413164,0.50224507
1,0,3.4599833,-1.8827606,-0.5569645,0.97253144,-0.5473794,0.42972207
2,0,3.4566514,-1.8703691,-0.6409716,0.8201545,-0.49999893,0.46508306
3,0,3.9940784,-1.824446,-0.5061307,0.207232,-0.4511606,0.401187
4,0,4.3687973,-1.7020494,-0.2808546,-0.21721587,-0.44668686,0.45277599
5,0,3.371072,-1.7909024,-0.31332865,-0.14337192,-0.44231227,0.45851728
6,0,0.6884844,-2.6864383,-0.28572908,0.60459894,-0.46415153,0.33679792
7,0,0.37417692,-2.644104,-0.4888839,0.26983404,-0.7035195,0.36811626
8,0,-0.093700975,-2.779812,-0.62197125,-0.29602313,-0.61652154,0.22971804
9,0,-0.33031157,-2.7421122,-0.56917435,-0.07551383,-0.563919,0.2703044
10,0,-0.64108366,-2.4011602,-0.55323523,-0.030320326,-0.7740823,0.2887217
11,0,-0.51694024,-2.286504,-0.5120502,0.7167003,-0.6277318,0.34695634
12,0,-0.22924648,-2.657514,-0.37381366,0.5162557,-0.34572724,0.35891032
13,0,-0.3094411,-2.5777223,-0.35595313,0.3538146,-0.260489,0.34560323
14,0,-1.0889587,-1.955867,-0.4965466,0.81856996,-0.34212726,0.21267463
15,0,-0.91921216,-2.0192957,-0.40922517,-0.29438025,-0.24776906,0.19759557
16,0,-1.0636812,-1.9277456,-0.23895733,0.42417955,-0.27579245,0.2396491
17,0,-1.0286282,-1.9276364,-0.057534244,-0.41045043,-0.2506048,0.21371523
18,0,-1.136275,-2.0096,-0.2195164,-0.5036184,-0.2628476,0.19689554
19,0,-1.1490203,-2.0277088,-0.37557885,-0.17375143,-0.10224019,0.12823243
20,0,-1.3974617,-2.0937521,-0.51316816,-0.8064002,-0.095619075,0.11388579
21,0,-1.2620132,-2.0938303,-0.58824706,-0.7101003,-0.06314121,0.11637166
22,0,-1.1753176,-2.1229162,-0.5463787,-0.37820342,-0.10154591,0.15545543
23,0,-1.0903597,-2.0761466,-0.49333656,-0.35553718,0.002541379,0.12286231
24,0,-1.2425051,-2.09479,-0.5407248,-0.8288931,0.03499068,0.10421474
25,0,-1.2703791,-2.0679507,-0.5813334,-0.6938355,0.10317369,0.080067165
26,0,-1.1849511,-2.0923412,-0.6037212,-0.68457294,0.110903636,0.07798609
27,0,-1.185535,-1.9696875,-0.5948783,0.76338637,0.12182027,0.12114569
28,0,-0.9037268,-2.0115957,-0.5704431,-0.10378012,0.1760363,0.060082898
29,0,-1.1978772,-1.9827863,-0.5966514,0.38339782,0.14113377,0.056107227
30,0,-1.1850585,-2.0617068,-0.5200958,-0.3339569,0.121425636,0.08699538
31,0,-1.251893,-2.029735,-0.4477595,-0.69387037,0.13872159,0.08593202
32,0,-1.1837109,-2.026163,-0.42900607,-1.0187624,0.15653794,0.080389746
33,0,-1.0017445,-1.953014,-0.46546084,-0.06548732,0.17712815,0.044416234
34,0,-0.9308186,-1.9632658,-0.591965,-0.049657352,0.17038696,0.0688554
35,0,-0.9601426,-1.9753692,-0.5980079,-0.22322732,0.16276483,0.15489887
36,0,-1.0910546,-1.9965641,-0.56416047,0.080187656,0.15824108,0.14391187
37,0,-1.1091003,-2.0174081,-0.5623269,-0.6855254,0.23415452,0.26596048
38,0,-1.2024436,-1.9440006,-0.4743314,-0.37036988,0.28489554,0.22795214
39,0,-1.1954032,-1.9236813,-0.3037844,-0.4793396,0.3425944,0.26563728
40,0,-1.1673467,-1.9737722,-0.29553485,-0.65218204,0.33580947,0.29489976
41,0,-1.0784909,-1.9084011,-0.17170796,-0.31845644,0.28170913,0.3001722
42,0,-1.0425173,-1.9011636,0.092934854,0.048560936,0.2561521,0.29594043
43,0,-0.99905694,-1.8723726,0.009843173,-0.14192343,0.26860526,0.3165205
44,0,-1.0878108,-1.9178008,-0.2792615,0.1617297,0.2544152,0.27308446
45,0,-1.1058921,-1.969297,-0.3707809,-0.35571495,0.3062144,0.25440365
46,0,-1.1430837,-1.9625677,-0.2610786,-0.64475477,0.3264551,0.24237455
47,0,-1.102235,-1.9173708,-0.28751644,0.1722241,0.3502987,0.28365308
48,0,-1.1529651,-1.8674301,-0.19798055,0.5599445,0.37073088,0.31680426
49,0,-1.0198278,-1.8736742,0.025777493,-0.32993883,0.3828579,0.322625
50,0,-0.93424,-1.8918587,0.08489131,-0.0067646345,0.36296287,0.26881748
51,0,-1.0581437,-1.947941,-0.02819452,-0.32273063,0.35777333,0.14958867
52,0,-0.9842388,-1.9109368,-0.017736375,-0.2304143,0.35723194,0.14264005
53,0,-1.0442649,-1.9604363,-0.2261411,0.61221474,0.36921412,0.1823809
54,0,-1.0216085,-1.9771879,-0.4742531,-0.41433367,0.28230444,0.119873054
55,0,-1.1323119,-2.0020423,-0.5451512,0.09176808,0.244399,0.11534361
56,0,-1.0432073,-1.9908186,-0.53071606,-0.24121974,0.20492241,0.05583722
57,0,-0.9609947,-2.0156126,-0.5322494,-0.08811232,0.22071442,0.05974185
58,0,-1.076449,-2.0104818,-0.4338986,-0.14201137,0.24919936,0.05206594
59,0,-1.1851656,-2.0696945,-0.35386848,-0.9370689,0.22021595,0.052870903
60,0,-1.1337116,-2.0151663,-0.39758497,-0.55149126,0.20219533,0.020405807
61,0,-1.1949197,-2.0554528,-0.4105915,-0.7205644,0.16889705,0.006960998
62,0,-1.2590168,-2.0232148,-0.44754794,-0.57289255,0.16840151,0.072997324
63,0,-1.2198471,-2.0351858,-0.33225125,-0.65253896,0.16495849,0.036938515
64,0,-1.079817,-1.9420273,-0.0642809,-0.53063804,0.19833064,0.04305071
65,0,-1.1204343,-1.9276927,-0.07744738,-0.4112351,0.2184356,0.05020672
66,0,-1.1900991,-2.008608,-0.33677575,-0.7756777,0.21387738,-0.0011435964
67,0,-1.1499108,-1.9592876,-0.45552742,-0.5847129,0.25051352,0.027735783
68,0,-1.1629932,-2.0566537,-0.42746225,-1.0435421,0.27738687,0.067820266
69,0,-1.141262,-2.0128815,-0.43678612,-0.66640705,0.32005504,0.12641491
70,0,-1.0785987,-1.9495034,-0.44433248,0.18456179,0.33515728,0.109436475
71,0,-1.0508901,-1.9531498,-0.4457551,-0.2350596,0.32307038,0.09651998
72,0,-1.2039773,-1.994809,-0.48590335,-0.47875977,0.27189168,0.08605854
73,0,-1.2460669,-1.997688,-0.40818828,-0.45696732,0.25114313,0.06387494
74,0,-1.2197202,-2.0229669,-0.48199442,-0.6735823,0.25685072,0.04687189
75,0,-1.148018,-1.9902374,-0.59015197,-0.59980506,0.2724941,0.0044807224
76,0,-1.0937326,-1.9823488,-0.5729992,0.18403038,0.26797464,0.0011375279
77,0,-1.1479498,-2.0046885,-0.5206858,-0.7792556,0.3180889,0.051523305
78,0,-1.0275965,-2.005489,-0.47792304,-0.17354622,0.35413674,0.08973426
79,0,-1.0419933,-2.0049026,-0.41233578,-0.04343702,0.43325981,0.114647426
80,0,-1.027557,-1.9836615,-0.31592467,-0.088607356,0.46311328,0.13113482
81,0,-1.1278644,-1.9256898,-0.14580137,-0.5477896,0.4802789,0.1378372
82,0,-1.143506,-1.8774235,-0.05551848,-0.34907308,0.4424497,0.15429984
83,0,-1.1854583,-1.9100363,-0.4072184,-0.16421989,0.47402155,0.1565517
84,0,-1.1423087,-1.958325,-0.50059736,-0.13477136,0.53159505,0.16341189
85,0,-1.1950438,-1.8848499,-0.44992656,0.5400493,0.53631866,0.18857469
86,0,-0.967687,-1.8524785,-0.3963112,0.24260095,0.5266452,0.17106529
87,0,-1.0905304,-1.8181094,-0.39595267,0.45324093,0.57245475,0.20672813
88,0,-1.0952526,-1.9305906,-0.44133213,-0.18419722,0.5378255,0.1980752
89,0,-1.2282914,-2.0018826,-0.44208536,-0.6403271,0.47414577,0.06818557
90,0,-1.1368142,-2.0064728,-0.42895815,-0.64019257,0.3939981,-0.0024692814
91,0,-0.9745194,-2.0159488,-0.34854695,-0.75067997,0.34749067,-0.009029328
92,0,-0.95512193,-1.9837773,-0.2861913,-0.6348826,0.33610985,-0.046354603
93,0,-0.9823309,-2.0092566,-0.3755469,-0.14552699,0.32060233,-0.073689155
94,0,-1.1145028,-2.0360456,-0.5259183,-0.3660903,0.3217122,-0.11945596
95,0,-1.2518729,-1.995473,-0.5316482,-0.27359384,0.34146407,-0.08948614
96,0,-1.2884212,-1.964925,-0.42338017,0.66349,0.3599788,-0.0015955783
97,0,-1.1717831,-1.8754518,-0.28724453,0.16017488,0.42875102,0.005526337
98,0,-1.0958796,-1.8833627,-0.14453843,-0.24859339,0.50960106,0.0025472185
99,0,-1.0675839,-1.9005239,-0.23716153,-0.22751728,0.5204184,0.025686778
0,1,3.4325724,-1.7677308,-0.34769052,0.26665625,-0.5251409,0.4359673
1,1,3.4373853,-1.8616339,-0.50497407,0.38630736,-0.65424615,0.4744006
